source,architecture,prompt_level,n_conversations,CED,min_distance,max_distance,mean_nn_distance,min_nn_distance,topic,condition
LLM,C2,P1,5,0.04296029015766645,0.027005137645839006,0.05444766028199788,0.08427431680648904,0.07734518775998256,Family Finance,C2-P1
LLM,C2,P2,5,0.06941981143717595,0.054623364155946263,0.08289636176200088,0.12727764790496868,0.10115329716395949,Family Finance,C2-P2
LLM,C3,P0,5,0.07672108176486718,0.05395039949104097,0.11014963483121087,0.14594470230506446,0.1270193003760247,Family Finance,C3-P0
LLM,C3,P1,5,0.05161715874357107,0.035976193383628785,0.07848079974838829,0.09627026552218254,0.07459579747509393,Family Finance,C3-P1
LLM,C3,P2,5,0.04555466055393562,0.03895076782941964,0.05815304070890659,0.09114155464380944,0.07315423499938045,Family Finance,C3-P2
LLM,C4,P0,5,0.05085798968837398,0.025727696461734006,0.09168528641477924,0.07297431464289475,0.06586458508792004,Family Finance,C4-P0
LLM,C4,P1,5,0.0567426884759201,0.04328539172130208,0.08601453685326332,0.09916528291994683,0.07471650376914207,Family Finance,C4-P1
LLM,C4,P2,5,0.05299159580671979,0.03870448656612058,0.06853198861649057,0.10369840879916263,0.08439970919001183,Family Finance,C4-P2
SB,SB,SB,5,0.04478572409209107,0.028049508780480847,0.0690252288715244,0.0826975050577647,0.06286147135940134,JOB BENEFITS,SB
LLM,C1,P0,5,0.06395652301198655,0.04057315565803499,0.091475203567986,0.11176517404910238,0.09691775658723722,Job Benefits,C1-P0
LLM,C1,P1,2,0.03015465336484502,0.03015465336484502,0.03015465336484502,0.11880000722027217,0.11880000722027217,Job Benefits,C1-P1
LLM,C2,P0,5,0.032727774013639285,0.022896377290861247,0.04734015873285635,0.06114511354889616,0.051939678028474656,Job Benefits,C2-P0
LLM,C2,P1,5,0.08084461488822955,0.06526372642323452,0.09368690920716627,0.13321844086953227,0.09714354145531745,Job Benefits,C2-P1
LLM,C2,P2,5,0.07887419020516631,0.06845861590996782,0.09163610817906165,0.13787739334453447,0.12447942803141077,Job Benefits,C2-P2
